stop_id,trip_id,timepoint,stop_sequence,arrival_time,departure_time
27.47153.024202304270826470,T_168,1,1,08:26:47,08:26:47
27.426153.1520230427091208162,T_168,1,2,09:12:08,09:12:08
27.426153.15202304270920350,T_169,1,1,09:20:35,09:20:35
27.456153.03320230427095333134,T_169,1,2,09:53:33,09:53:33
27.456153.033202304271005510,T_170,1,1,10:05:51,10:05:51
27.483153.0362023042710135931,T_170,1,2,10:13:59,10:13:59
27.483153.036202304271028410,T_171,1,1,10:28:41,10:28:41
27.479153.0222023042710404937,T_171,1,2,10:40:49,10:40:49
27.479153.022202304271057240,T_172,1,1,10:57:24,10:57:24
27.471153.0262023042711104033,T_172,1,2,11:10:40,11:10:40
27.471153.026202304271110400,T_173,1,1,11:10:40,11:10:40
27.426153.1520230427115914135,T_173,1,2,11:59:14,11:59:14
27.426153.15202304271235010,T_174,1,1,12:35:01,12:35:01
27.501153.03620230427130926144,T_174,1,2,13:09:26,13:09:26
27.501153.036202304271325460,T_175,1,1,13:25:46,13:25:46
27.487153.0352023042713330021,T_175,1,2,13:33:00,13:33:00
27.481153.039202304271414500,T_176,1,1,14:14:50,14:14:50
27.441153.1282023042714292787,T_176,1,2,14:29:27,14:29:27
27.441153.128202304271442150,T_177,1,1,14:42:15,14:42:15
27.426153.1522023042714545045,T_177,1,2,14:54:50,14:54:50
27.426153.15202304280609220,T_178,1,1,06:09:22,06:09:22
27.469153.02520230428064630158,T_178,1,2,06:46:30,06:46:30
27.47153.025202304280723350,T_179,1,1,07:23:35,07:23:35
27.426153.1520230428080127144,T_179,1,2,08:01:27,08:01:27
27.426153.15202304280820460,T_180,1,1,08:20:46,08:20:46
27.479153.02320230428085839159,T_180,1,2,08:58:39,08:58:39
27.479153.023202304280918040,T_181,1,1,09:18:04,09:18:04
27.471153.0262023042809315843,T_181,1,2,09:31:58,09:31:58
27.471153.026202304280931580,T_182,1,1,09:31:58,09:31:58
27.483153.0362023042810153669,T_182,1,2,10:15:36,10:15:36
27.483153.036202304281024490,T_183,1,1,10:24:49,10:24:49
27.501153.0362023042810295924,T_183,1,2,10:29:59,10:29:59
27.488153.035202304281139010,T_184,1,1,11:39:01,11:39:01
27.478153.1242023042812035487,T_184,1,2,12:03:54,12:03:54
27.478153.124202304281233490,T_185,1,1,12:33:49,12:33:49
27.426153.152023042812582289,T_185,1,2,12:58:22,12:58:22
27.426153.15202304290517030,T_186,1,1,05:17:03,05:17:03
27.469153.02520230429054706137,T_186,1,2,05:47:06,05:47:06
27.469153.025202304290621540,T_187,1,1,06:21:54,06:21:54
27.479153.0232023042906292029,T_187,1,2,06:29:20,06:29:20
27.479153.023202304290648140,T_188,1,1,06:48:14,06:48:14
27.426153.1520230429072739158,T_188,1,2,07:27:39,07:27:39
27.426153.15202304290754180,T_189,1,1,07:54:18,07:54:18
27.483153.03620230429082003131,T_189,1,2,08:20:03,08:20:03
27.483153.036202304290844070,T_190,1,1,08:44:07,08:44:07
27.456153.0332023042908512026,T_190,1,2,08:51:20,08:51:20
27.456153.033202304290901310,T_191,1,1,09:01:31,09:01:31
27.426153.1520230429093234143,T_191,1,2,09:32:34,09:32:34
27.426153.15202304290941090,T_192,1,1,09:41:09,09:41:09
27.396153.10720230429095930121,T_192,1,2,09:59:30,09:59:30
27.396153.107202304291025480,T_193,1,1,10:25:48,10:25:48
27.472153.0262023042910511881,T_193,1,2,10:51:18,10:51:18
27.472153.026202304291051180,T_194,1,1,10:51:18,10:51:18
27.5153.0362023042911185440,T_194,1,2,11:18:54,11:18:54
27.5153.036202304291133160,T_195,1,1,11:33:16,11:33:16
27.426153.1520230429120228144,T_195,1,2,12:02:28,12:02:28
27.426153.15202304291234090,T_196,1,1,12:34:09,12:34:09
27.331153.05820230429130508168,T_196,1,2,13:05:08,13:05:08
27.331153.058202304291330510,T_197,1,1,13:30:51,13:30:51
27.426153.1520230429141136183,T_197,1,2,14:11:36,14:11:36
27.426153.15202304300930460,T_198,1,1,09:30:46,09:30:46
27.415153.05920230430094950108,T_198,1,2,09:49:50,09:49:50
27.415153.059202304301017120,T_199,1,1,10:17:12,10:17:12
27.426153.1520230430110131154,T_199,1,2,11:01:31,11:01:31
27.426153.15202305010604320,T_200,1,1,06:04:32,06:04:32
27.469153.02520230501064331147,T_200,1,2,06:43:31,06:43:31
27.469153.025202305010721430,T_201,1,1,07:21:43,07:21:43
27.441153.12820230501074230111,T_201,1,2,07:42:30,07:42:30
27.441153.128202305010746030,T_202,1,1,07:46:03,07:46:03
27.426153.152023050107533238,T_202,1,2,07:53:32,07:53:32
27.426153.15202305010834530,T_203,1,1,08:34:53,08:34:53
27.483153.03620230501090408131,T_203,1,2,09:04:08,09:04:08
27.483153.036202305010927190,T_204,1,1,09:27:19,09:27:19
27.479153.0232023050109380630,T_204,1,2,09:38:06,09:38:06
27.479153.023202305010959560,T_205,1,1,09:59:56,09:59:56
27.501153.03620230501114222378,T_205,1,2,11:42:22,11:42:22
27.487153.035202305011210300,T_206,1,1,12:10:30,12:10:30
27.472153.0262023050112241740,T_206,1,2,12:24:17,12:24:17
27.472153.026202305011224170,T_207,1,1,12:24:17,12:24:17
27.456153.0332023050112515027,T_207,1,2,12:51:50,12:51:50
27.456153.033202305011304490,T_208,1,1,13:04:49,13:04:49
27.433153.0652023050113180539,T_208,1,2,13:18:05,13:18:05
27.433153.065202305011321200,T_209,1,1,13:21:20,13:21:20
27.426153.1542023050113364286,T_209,1,2,13:36:42,13:36:42
27.428153.152202305011400070,T_210,1,1,14:00:07,14:00:07
27.426153.152023050114050222,T_210,1,2,14:05:02,14:05:02
27.426153.15202305020631480,T_211,1,1,06:31:48,06:31:48
27.469153.02520230502072026163,T_211,1,2,07:20:26,07:20:26
27.469153.025202305020745260,T_212,1,1,07:45:26,07:45:26
27.479153.0232023050207594931,T_212,1,2,07:59:49,07:59:49
27.479153.023202305020816210,T_213,1,1,08:16:21,08:16:21
