stop_id,trip_id,timepoint,stop_sequence,arrival_time,departure_time
27.45153.172023050319264543,T_232,1,2,1211,1211
27.45153.17202305031935380,T_233,1,1,1213,1213
27.43153.152023050319422635,T_233,1,2,1208,1208
27.43153.15202305040648540,T_234,1,1,462,462
27.47153.0220230504072947130,T_234,1,2,496,496
27.47153.02202305040801340,T_235,1,1,515,515
27.43153.1520230504084118137,T_235,1,2,539,539
27.43153.15202305040919560,T_236,1,1,615,615
27.48153.0420230504095308141,T_236,1,2,601,601
27.48153.04202305041009090,T_237,1,1,618,618
27.5153.042023050410143223,T_237,1,2,646,646
27.5153.04202305041026300,T_238,1,1,656,656
27.48153.022023050410393942,T_238,1,2,678,678
27.48153.02202305041056470,T_239,1,1,703,703
27.46153.032023050411131648,T_239,1,2,689,689
27.46153.03202305041125580,T_240,1,1,743,743
27.44153.132023050411485296,T_240,1,2,760,760
27.44153.13202305041152290,T_241,1,1,741,741
27.43153.152023050412135960,T_241,1,2,792,792
27.43153.15202305041216220,T_242,1,1,758,758
27.47153.0320230504125307136,T_242,1,2,780,780
27.47153.03202305041253070,T_243,1,1,780,780
27.43153.1520230504135712154,T_243,1,2,849,849
27.43153.15202305050623080,T_244,1,1,391,391
27.47153.0220230505070659168,T_244,1,2,485,485
27.47153.02202305050737100,T_245,1,1,467,467
27.48153.022023050507503029,T_245,1,2,500,500
27.48153.02202305050816320,T_246,1,1,528,528
27.49153.042023050508292434,T_246,1,2,533,533
27.49153.04202305050845550,T_247,1,1,580,580
27.43153.1520230505092528150,T_247,1,2,593,593
27.43153.15202305050932570,T_248,1,1,629,629
27.48153.0420230505100643140,T_248,1,2,649,649
27.48153.04202305051023400,T_249,1,1,663,663
27.5153.042023050510311521,T_249,1,2,646,646
27.5153.04202305051041430,T_250,1,1,684,684
27.47153.032023050511022965,T_250,1,2,691,691
27.47153.03202305051102290,T_251,1,1,691,691
27.46153.032023050511281233,T_251,1,2,700,700
27.46153.03202305051140380,T_252,1,1,738,738
27.43153.072023050511524537,T_252,1,2,757,757
27.43153.07202305051231240,T_253,1,1,775,775
27.43153.152023050512511492,T_253,1,2,785,785
27.43153.15202305060532530,T_254,1,1,385,385
27.5153.0520230506062412162,T_254,1,2,396,396
27.5153.05202305060658320,T_255,1,1,450,450
27.47153.022023050607140950,T_255,1,2,443,443
27.47153.02202305060806440,T_256,1,1,530,530
27.43153.1520230506085702192,T_256,1,2,539,539
27.43153.15202305060937050,T_257,1,1,582,582
27.49153.0420230506101106128,T_257,1,2,617,617
27.49153.04202305061022320,T_258,1,1,654,654
27.5153.042023050610345728,T_258,1,2,691,691
27.5153.04202305061044400,T_259,1,1,684,684
27.48153.022023050611024042,T_259,1,2,702,702
27.48153.02202305061119030,T_260,1,1,682,682
27.47153.032023050611403050,T_260,1,2,730,730
27.47153.03202305061201490,T_261,1,1,770,770
27.46153.032023050612151128,T_261,1,2,746,746
